epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3145.44,0.97075,1.97367,1.16066,1.19643,0,0.70952,0.65793,0.68678,0.51542,0.707,0.64365,0.65808,0.47365,1.31018,2.18379,1.40631,1.42372,0,0.000915875,0.000915875,0.000915875
29,3257.81,0.95328,1.93809,1.14704,1.18497,0,0.70492,0.65924,0.688,0.51234,0.69511,0.64167,0.64341,0.4671,1.29681,2.12992,1.41878,1.41453,0,0.0009035,0.0009035,0.0009035
30,3368.85,0.95125,1.94217,1.13988,1.18479,0,0.73047,0.68722,0.72192,0.53329,0.71786,0.67598,0.68635,0.49046,1.28315,2.07231,1.35902,1.40212,0,0.000891125,0.000891125,0.000891125
31,3482.31,0.94965,1.93976,1.13792,1.18374,0,0.69217,0.67753,0.69837,0.51523,0.66136,0.66548,0.64974,0.4719,1.30805,2.19237,1.417,1.43615,0,0.00087875,0.00087875,0.00087875
32,3593,0.93966,1.91811,1.11675,1.17336,0,0.65518,0.68998,0.69701,0.52233,0.64723,0.67342,0.66492,0.47773,1.28681,2.11412,1.40273,1.40816,0,0.000866375,0.000866375,0.000866375
33,3704.36,0.93347,1.90705,1.12013,1.17063,0,0.68576,0.67597,0.69978,0.5254,0.71662,0.62343,0.66621,0.48226,1.29764,2.1556,1.39068,1.40729,0,0.000854,0.000854,0.000854
34,3815.15,0.92204,1.8628,1.09015,1.16531,0,0.72055,0.69534,0.70826,0.53323,0.71104,0.68702,0.68004,0.49728,1.26995,2.06801,1.3992,1.38163,0,0.000841625,0.000841625,0.000841625
35,3926.78,0.93572,1.88882,1.09628,1.16492,0,0.69981,0.65969,0.7038,0.53141,0.69418,0.65359,0.6776,0.4865,1.31389,2.09257,1.38427,1.43064,0,0.00082925,0.00082925,0.00082925
36,4038.91,0.92862,1.88134,1.08263,1.16783,0,0.67648,0.68073,0.69859,0.52845,0.68228,0.65591,0.67094,0.48291,1.26836,2.13732,1.39724,1.37638,0,0.000816875,0.000816875,0.000816875
37,4149.28,0.9225,1.8643,1.06854,1.15715,0,0.7423,0.66708,0.7307,0.55977,0.73821,0.65835,0.70278,0.51662,1.26084,2.03976,1.32217,1.38506,0,0.0008045,0.0008045,0.0008045
38,4262.57,0.91836,1.86796,1.06883,1.15897,0,0.68765,0.68068,0.72054,0.54689,0.68326,0.67536,0.69814,0.51349,1.26767,2.1223,1.35018,1.3757,0,0.000792125,0.000792125,0.000792125
39,4374.84,0.91505,1.85552,1.05438,1.15434,0,0.71193,0.6947,0.71963,0.54893,0.71905,0.66128,0.69292,0.50935,1.26685,2.05683,1.34445,1.38275,0,0.00077975,0.00077975,0.00077975
40,4486.53,0.89505,1.8394,1.04716,1.1435,0,0.73801,0.68974,0.73812,0.56484,0.72402,0.6875,0.71487,0.51874,1.23847,2.05698,1.31304,1.36337,0,0.000767375,0.000767375,0.000767375
41,4598.48,0.90169,1.84908,1.04186,1.15085,0,0.7069,0.71033,0.73091,0.55643,0.7141,0.68471,0.70287,0.50895,1.25822,2.0732,1.3121,1.37865,0,0.000755,0.000755,0.000755
42,4709.26,0.89024,1.81131,1.0149,1.14374,0,0.71466,0.71132,0.73892,0.56325,0.74197,0.67289,0.70528,0.51168,1.25562,2.00854,1.31586,1.36631,0,0.000742625,0.000742625,0.000742625
43,4821.67,0.89605,1.83408,1.02569,1.14785,0,0.72787,0.67772,0.73039,0.55414,0.7551,0.67433,0.71007,0.51624,1.26312,2.02336,1.28971,1.36982,0,0.00073025,0.00073025,0.00073025
44,4936.8,0.88721,1.77714,1.00952,1.13645,0,0.70244,0.71161,0.72576,0.563,0.6908,0.69835,0.69544,0.51088,1.25088,2.05359,1.31043,1.37213,0,0.000717875,0.000717875,0.000717875
45,5054.76,0.88402,1.79285,1.01298,1.13867,0,0.75343,0.6901,0.73385,0.5595,0.74721,0.67976,0.70522,0.51336,1.23364,2.03104,1.31346,1.36683,0,0.0007055,0.0007055,0.0007055
46,5172.5,0.8752,1.78814,0.99165,1.13597,0,0.74075,0.70423,0.73909,0.57159,0.73391,0.69255,0.71128,0.52506,1.22961,2.03778,1.31048,1.36829,0,0.000693125,0.000693125,0.000693125
